instance,domain,agents,bays,candidates,items,placement,goal,atoms,worlds,designated,ground_actions,heuristic,strategy,depth,expanded,generated,leaves,branches,ground_s,plan_s,status
public-a3-b6-u4-depot-ck,public,3,6,4,,depot,ck,60,4,4,66,knowledge-spread,AO*,8,399310,429195,4,11,2.406,3.661,solved
public-a3-b6-u4-depot-nested,public,3,6,4,,depot,nested,60,4,4,66,knowledge-spread,AO*,8,399310,429195,4,11,3.673,3.228,solved
public-a3-b6-u4-spread-ck,public,3,6,4,,spread,ck,60,4,4,66,knowledge-spread,AO*,6,167009,181867,4,9,2.392,1.522,solved
public-a3-b6-u4-spread-nested,public,3,6,4,,spread,nested,60,4,4,66,knowledge-spread,AO*,6,167009,181867,4,9,2.535,1.292,solved
public-a4-b3-u2-depot-ck,public,4,3,2,,depot,ck,24,2,2,40,knowledge-spread,AO*,3,136,171,2,4,0.040,0.004,solved
public-a4-b3-u2-depot-nested,public,4,3,2,,depot,nested,24,2,2,40,knowledge-spread,AO*,3,136,171,2,4,0.038,0.004,solved
public-a4-b3-u2-spread-ck,public,4,3,2,,spread,ck,24,2,2,40,knowledge-spread,AO*,2,77,110,2,3,0.036,0.003,solved
public-a4-b3-u2-spread-nested,public,4,3,2,,spread,nested,24,2,2,40,knowledge-spread,AO*,2,77,110,2,3,0.037,0.003,solved
public-a4-b4-u2-depot-ck,public,4,4,2,,depot,ck,36,2,2,56,knowledge-spread,AO*,4,755,793,2,5,0.126,0.008,solved
public-a4-b4-u2-depot-nested,public,4,4,2,,depot,nested,36,2,2,56,knowledge-spread,AO*,4,755,793,2,5,0.113,0.007,solved
public-a4-b4-u2-spread-ck,public,4,4,2,,spread,ck,36,2,2,56,knowledge-spread,AO*,2,105,142,2,3,0.122,0.005,solved
public-a4-b4-u2-spread-nested,public,4,4,2,,spread,nested,36,2,2,56,knowledge-spread,AO*,2,105,142,2,3,0.108,0.004,solved
public-a4-b4-u3-depot-ck,public,4,4,3,,depot,ck,36,3,3,56,knowledge-spread,AO*,5,9195,10774,3,7,0.185,0.080,solved
public-a4-b4-u3-depot-nested,public,4,4,3,,depot,nested,36,3,3,56,knowledge-spread,AO*,5,9195,10774,3,7,0.182,0.066,solved
public-a4-b4-u3-spread-ck,public,4,4,3,,spread,ck,36,3,3,56,knowledge-spread,AO*,4,8165,10978,3,6,0.186,0.080,solved
public-a4-b4-u3-spread-nested,public,4,4,3,,spread,nested,36,3,3,56,knowledge-spread,AO*,4,8165,10978,3,6,0.193,0.064,solved
public-a4-b5-u2-depot-ck,public,4,5,2,,depot,ck,50,2,2,72,knowledge-spread,AO*,5,5438,5482,2,6,1.176,0.041,solved
